Comment,Timestamp
"Nancy: President Trump needs to be impeached for lots of reasons he has violated several laws he's made deals with Russia he's made deals with Ukraine and he's been saying I can do whatever I want and in this country we need to work together and come up with an agreement so with that we need him impeached thank you
Donald: Nancy Pelosi thinks I did something wrong that I should be impeached but I've been keeping my people safe my country safe I'm not hurting anyone and I'm not trying to start a war so if you think Nancy is telling the truth she's not she's just doing this cause she doesn't like me and she thinks she's in charge of this country and she also thinks that America hates me but wait till the 2020 election comes and we'll see who America likes more cause I've been trying to make America great again but the democrats are not letting me do these things so wait till 2020 happens and then we'll see who America agrees with more thank you. 
(Here's my prediction) 
Me: hello this is my prediction of what I think is going on for the past 3 years the democrats have been hating on Trump about lots of things he's doing for our country yes we want America to be safe, yes we don't want to go to war with nobody but we should work together and figure out what's going on cause lots of people are hating on Trump and Nancy Pelosi wants to impeach Trump but it's not working and the 2020 Presidential Election is next year in this month of November so there shouldn't be an impeachment when it gets close to the next election and we should just let America choose if Trump should still be in office or if one of the Democratic candidates takes oath of office thank you",2019-11-20T00:25:32Z
She’s basically giving a history lesson on how long our country has been corrupted!!!💯 Just now WE THE PEOPLE have a President that won’t allow it to continue in the direction it had been going and well Pelosi can’t have that!!!,2019-10-31T15:26:36Z
Slurred speech is all I got out of this. She can't even read off a teleprompter!! Go back to your vineyard!!!,2019-10-30T01:34:32Z
"😜 
👊/||\_ 
  _/¯ ¯\_",2019-10-22T15:50:29Z
"Thank you Ms . Pelosi, for being the Voice of so many Americans in the United States, my support an so many other rely on such strong voice such as your . 7 1/2 supporters depends on your strong voice for the United States. I love you Ms 😘 pelosi, ( stay strong for us . United States of America.",2019-10-18T13:14:43Z
Impeach Pelosi,2019-10-16T23:55:22Z
what was that all about ..load of garbage..,2019-10-16T11:40:39Z
Old farts like her should retire already or get ready for the embalming fluid.  Sit back and relax on all you real estate investments in the Bay area. So angry. What's up w. her speech? Bad denture job?,2019-10-08T18:25:06Z
Thanks  for the laugh Global News you made my day.,2019-10-08T16:42:31Z
"PELOSI AND SCHIFF DOESN'T EVEN KNOW WHAT THE FABRICATED CHARGES ARE!! THEY'RE HELL BENT ON IMPEACHING OUR BELOVED PRESIDENT, TO THEIR OWN DEMISE!!! PRESIDENT TRUMP HAS BEEN FORTHRIGHT IN ALL HIS DEALINGS, BUT THE MEDIA CONTINUES TO AID THE DEMONIC DEEP STATE'S FAR LEFT!!!  GOD IS ON THE SCENE AND HIS JUDGMENTS WILL BE SWIFT FOR THOSE WHO FOLLOW SATAN!!! WE THE PEOPLE WILL MAINTAIN OUR ALLEGIANCE TO GOD AND THE CONSTITUTION OF THE UNITED STATES, NOT MAN!!!",2019-10-08T13:23:15Z
Love how dems support the constitution when it feels good. Lol,2019-10-07T23:45:57Z
Never going to happen!,2019-10-07T03:31:18Z
lol,2019-10-06T01:52:52Z
Yes let’s all get this white supremacist leader out of office. God bless America 🇺🇸,2019-10-05T20:01:48Z
How foolish you are!!!!,2019-10-05T05:05:12Z
Donald Trump is the 🐐,2019-10-04T05:08:36Z
All these people saying Pelosi is drunk are just ashamed that their Cheeto man is gettin booted,2019-10-03T18:58:25Z
*What a hag !*,2019-10-01T10:06:08Z
Hahahahahahaha she really thinks this will work god they are so dumb trump 2020,2019-10-01T10:02:38Z
Nancy Pelosi Ur FIRED!!!!!!! and Guilty off all u say trump did U have done,2019-10-01T04:19:36Z
"Nancy Pelosi often displays what is known as “Duping Delight.” Even her monthly dose of 10,000 Botox units can’t cover up her desire to manipulate and deceive. She’s done it for so long it’s just second nature. Democrats Just hope if they throw enough spaghetti against the wall somethings going to stick. Dear God the American people have had enough of this.",2019-10-01T02:38:32Z
Call Nancy Pelosi tell her to resign!!! 202-225-4965,2019-09-30T20:54:05Z
She should go to Guantanamo for treason.,2019-09-30T10:47:03Z
"No one:
Absolutely no one:
People who still support trump: sHe SoUnDs DrUnK",2019-09-29T15:05:47Z
Her dentures are too big for her slurred speech,2019-09-29T14:29:14Z
"Ole nance is barely hanging on,  huh .? Lol !! This freak can barely form a sentence and looks like she  climbed out of a grave 3 days ago and hit the stage .... show time , pig ! Keep talking,  you're doing great !",2019-09-28T21:48:15Z
"Trump said all disposable people out.. which aoc knows nothing about.. one word corruption get out..... thank you trump 2020 and more like him
Disgrace Democrats.. max waters really??",2019-09-28T04:48:16Z
"How about do some laws now, you undermine the American people.. Seriously,  again.. losers
.trump 2020.
.get over it.
.we are winner's",2019-09-28T04:45:26Z
"""The President is held accountable. No one is above the law."" A great lesson from our American ally!

More international examples? British PM Johnson ('illegal' abuse of parliamentary power); former/the late Zimbabwe President Mugabe ('impeachment call' & 'resignation' on power abuse & corruption); former Hong Kong Chief Executive Tsang ('jailed' on unethical misconducts & corruption) ... And in Canada? Our PM's 'proven' practices of all as committed by these top national officials still leave him grasping & babbling around freely for reelection to date. How sad, how illogical, how shameful - domestically & internationally.",2019-09-27T17:00:27Z
I wish they would impeach Nancy. She not worthy to serve in the office.,2019-09-27T14:59:22Z
"She is corrupt, she is a crook, she is the left hand of hillary clinton, she is old, she isnt sharp, very dangerous woman full of extreme left hatred. I dont care about your left or right but i do care about justice! The only way to stop this witch hunt is to look at official facts. There is no solid proof!",2019-09-27T12:26:32Z
Bet ! She almost lost her dentures right before quickly exiting stage. 😹,2019-09-27T05:17:04Z
25 years? How is this possible? Time for you to retire and take up knitting sweaters for the homeless Nancy!!!!,2019-09-27T03:54:03Z
Whistle Blower? Or just the wind blowing past Pelosi's head?,2019-09-27T02:22:16Z
Get these pot smoking Democrat socialist out of our country,2019-09-27T00:02:56Z
Trump 2020,2019-09-27T00:02:20Z
She’s scary 🤥,2019-09-26T21:56:27Z
Helping Trump to win again in 2020. More than Trump the democratic party will ensure Trump wins again..,2019-09-26T18:42:17Z
Nancy Pelosi should be investigated..she came into Congress a normal person..decades later she's a  multimillionaire..how did that happen..one of the tactics of guilty parties is to deflect attention from themselves by 'any means necessary '..,2019-09-26T16:46:24Z
My goodness! If she could spew fire she would. Too bad for her she's just blowing smoke. When will she ever give up?,2019-09-26T15:56:52Z
Nut cases,2019-09-26T11:35:09Z
Peloci bidon are finished,2019-09-26T10:48:30Z
She look creepy asf,2019-09-26T10:22:56Z
"When I see Pelosi, I can't help but emphatically exclaim: ""Botox and dentures and lies, oh my!"" Botox and dentures and lies, oh my!!!"" ""Botox and dentures and lies, oh my!!!!!!!!!!""",2019-09-26T09:09:26Z
Nancy it’s a trap!!!,2019-09-26T05:35:04Z
She served on the intelligence committee so she must be smart.🙄,2019-09-26T05:32:48Z
Show me the man. I will find you the crime.,2019-09-26T05:31:13Z
"Spoiler: Trump doesn’t get impeach and liberal get even more butt hurt. 

Life is good. Lol",2019-09-26T03:21:22Z
Ha ha ha ha ha 😁😁😁😁🤣😂🤣😂😭🤭😆😆😆😆😆😄😄🤣😂🤣😂🤣😂🤣😊😭😭yall dont think she sounds crazy to you?,2019-09-26T00:35:07Z
She's a joke,2019-09-25T20:14:17Z
Witch Pelosi,2019-09-25T19:22:27Z
What a liar she is.  Can't stand to watch her.,2019-09-25T15:29:27Z
"Here we go again... 😊
Shamelessly Democrats. 🤔",2019-09-25T15:04:31Z
ERROR ERROR TRUMP IS WINNING ERROR ERROR MUST THROW TANTRUM ERROR ERROR,2019-09-25T14:37:13Z
Many whites aren't gonna like this. But right is right.....,2019-09-25T13:58:26Z
Waste of time and resources,2019-09-25T13:39:47Z
the Dumbocrats want Trump out so bad  because he is draining their corrupt swamp,2019-09-25T13:03:53Z
"Impeach Corrupt Trump. 
🇺🇸In USA NO ONE us above the American constitution Law. 
Corrupt trump ask Ukraine president to interfere with US election. Dump Trump Treason💥💥",2019-09-25T12:08:06Z
"Haters trump, republican, Putin, Russian bots leaving negative comments and thumb down here.💥",2019-09-25T12:04:28Z
"""If you spend all day shuffling words around, you can make anything sound bad, Morty."" - Rick",2019-09-25T09:41:00Z
"everyone.s going to want to hear or know this , unfortunately nobody knows what Ben Franklin sounded like or his slaves if he had any ,well revolutionaries are everywhere and sure it's probably harmless whatever but interpreted as not the NSA or CIA but somehow as she educated everyone about. Sure whatever the God bless you all also. Who is the informant of the international assistance to not canvas Americans on behalf of Kiev anyway,",2019-09-25T08:56:45Z
Finally. Perhaps the US can now repair their image in the minds of the rest of the world. I know I hope this is the first step for the US to drop their superiority complex and join us in trying to avoid world catastrophy.,2019-09-25T08:44:24Z
She nearly didn't make it to the table lol.,2019-09-25T08:03:51Z
One way .... Has to find their plants...  His lawyer could take it from there...heh,2019-09-25T07:44:13Z
Lucky me n the smart former US citizens who renounced our citizenship n don’t live in a capitalist stolen land with it GMO soil n stupid healthcare system. Enjoy another Trump year you fools.,2019-09-25T07:30:37Z
"If you are so worried about protecting whistleblowers, step up for Assange..!!",2019-09-25T06:52:14Z
whistleblower is nothing but a snitch,2019-09-25T06:06:00Z
"It's time to disband the DemonRat party, they have become the true evil that is destroying our country, and failing the American people.",2019-09-25T06:01:32Z
PUTLER PUTIN KAPUT !!!,2019-09-25T05:52:05Z
"“It is not a God, just and good, but a devil, under the name of God, that the Bible describes.”
Thomas Paine",2019-09-25T05:29:14Z
"Nancy Pelosi, you're off your rocks you can not, and impeachment something that you have no evidence?",2019-09-25T05:12:44Z
Нэнси Пелоси очень устала и возраст достает.Надо Нэнси в долгосрочный отпуск отправить  по странам -Ирак - Ливия -Афганистан.,2019-09-25T04:56:35Z
"Does Nancy Pelosi do anything in life beside trying to impeach trump and failing at it every single time? HE WON! GET OVER IT!!!!  I mean this crazy women have been in involved in politics since 1987, I dare %99.9 of Americans to name one useful thing she did to the public .. she is so useless to the point no one heard of her until she started fighting Trump!",2019-09-25T04:56:34Z
"Watch closely, especially her face and her eyes, and you will notice the deceit and hypocrisy in it. Use your common sense. This is the woman who said Trump will never be President. She looks haunted by her own words.",2019-09-25T04:40:56Z
"Look at her eyes. Pelosi is the America witch, the corrupt deep state blood sucking demons, feeding off of our Tax payer",2019-09-25T04:26:53Z
Trump got them again😂😂 they are protecting bidens corruptions,2019-09-25T03:51:11Z
"I was thinking democrats would have held out till the election is closer. Just so they can say ""it's un-American to vote for a President that breaks the law so you have to vote for us"".  Democrats have no hope for winning and the house will go back to the republicans just to shut them up. I'm so sick of hearing drunken Pelosi and the rest of these worthless bums.",2019-09-25T03:36:09Z
I suppose military secrets are covered under the whistle blower protections? Can I whistle blow on troop strength and location? The President is the Chief Law Enforcement Officer in the country. He was performing his duty.,2019-09-25T03:27:54Z
This is a declaration of war on America. Warning to all Democrats we will fight back. Since when does this old witch care about the rule of law. Hopefully a tornado drops a house on her and every other Democrat. The only good Democrat is a dead Democrat but unfortunately they still vote.,2019-09-25T03:10:55Z
"Aww man, she sharing those drugs?",2019-09-25T03:01:16Z
"Imagine what ""it"" looks like when sleeping, that surprised look all night long (those eyebrows) lol!! That must look pretty freaky...would scare me to roll over next to that staring me in the face, ahhhhh!!!",2019-09-25T02:55:53Z
"Blink, Nancy, blink....",2019-09-25T02:48:02Z
"No one is above the law? Unless your Jesse Someilitt. 🤔
16 charges ad the obama stepped in and it all goes away😂",2019-09-25T02:44:53Z
"Since when did this lot care about the constitution. You trample on the second amendment all the time. And due process. 

First it was tax returns, then it was Russia, Russia, Russia now this Ukraine thing. 

Your lot act above the law all the time. I didn’t see you lot chase Hillary down with all those emails in the name of national security. 

What hypocrisy 🤮🤮🤮",2019-09-25T02:35:27Z
"So are the Dems trying to retroactively interfere in the 2016 election, or proactively interfere in the 2020?

Answer: Yes.",2019-09-25T02:32:54Z
"We will see the facts. Nancy, you have not. Again, way ahead of the facts before allegations are fully deserved. Everyone can see the Democrat dream is there will be no President Trump to run against in 2020. Why? You cannot convince the American people to vote this man out of office, nor convince them to vote leftist Democratic leaders. I remember Nancy you stating, “We are the opposition party.” One of the few times you spoke the truth.",2019-09-25T02:29:05Z
"Pelosi...she's 

Caring
Understanding
Noble
Trustworthy",2019-09-25T02:22:02Z
"She's in bad shape - as bad as Hillary, Biden and Mueller",2019-09-25T02:21:32Z
Thank you Nancy,2019-09-25T02:21:26Z
"She left the saloon and not answer any question, maybe don't have script for that.",2019-09-25T02:17:44Z
"Nancy: I promise I won't get Drunk tonight


*[Three bottles of Jack Daniels later]*

Nancy: ""we're going to impeach Trump!""",2019-09-25T02:14:51Z
Can someone tell her to take her pill?,2019-09-25T02:14:31Z
HAPPY IMPEACHMENT DAY🇺🇸🎉,2019-09-25T01:50:31Z
Wait so he is getting impeached or naw?,2019-09-25T01:50:01Z
Somehow tekashi69 snitched on him 😂😂😂,2019-09-25T01:43:25Z
go thump her rump trump 2020 patriots are the real americans here not u pelosi u suck,2019-09-25T01:39:05Z
you speak of following the constitution but your a part of the elitist agenda for the nwo and complete hypocrit in my opinion you pelosi have violated and broke several constititutional laws yourself .. starting with the silent coop yall are partakin in.,2019-09-25T01:37:52Z
"I want to process my vaccien with air national guard  n my friend general josheo l lenyal 
 Would u 
 Ana all american people support n wellcome  my coming in usa mam
Thank you .",2019-09-25T01:36:53Z
LOOK PEOPLE!!!! ANOTHER CHAPTER OF TALES FROM THE CRYPT . BOTOX HELP US ALL. I.MEAN SORRY.....GOD HELP US ALL.  THEY HAVE REALIZED  THAT TRUMP WON IN 2020. THIS IS THE REAL REASON.,2019-09-25T01:36:35Z
Is she drunk?,2019-09-25T01:33:45Z
Pelosi sounds drunker than usual.,2019-09-25T01:29:45Z
nasty Ghost.,2019-09-25T01:29:21Z
"Nancy finally took off the mask and revealed the essence of the witch! Biden and his son colluded with ccp, collecting huge sums of money and political funds, why not investigate! ! ! In turn, President Trump, who was impeached due to tell the truth! The Democratic Party is rubbish! It has been selling the interests of the American people since history! The fact that the Democratic Party has created the Russian Gate is now clear. Why are these fraudulent and the people who have fallen into the president without legal sanctions? Now I know why ccp is so rampant! ! ! Ccp and the US Democratic Party are the enemies of the world!",2019-09-25T01:29:16Z
What bills have you passed this year?,2019-09-25T01:28:37Z
Yet she's been in Congress 30 years and there's bums pooping on the sidewalks of her district throwing used needles in public parks where kids play ...good work Nancy,2019-09-25T01:26:14Z
"You need to do what you were supposed to do for the American people, but no, you are just waisting our time. And just like you said, a REPUBLIC ,not democrat",2019-09-25T01:26:07Z
Yeeeeee Haaaaaw!  Put a tent around the next 3 ring circus!!!  The Demoncrat clowns will be on full display in the upcoming impeachment hearings.  Just what they wanted........NOT!  BWAHAHAHAHAHAHAHAHA!  Gonna have to get me some more popcorn for this charade!  Trump laid out the cheese and the rats couldn’t resist!  Now you’re trapped.,2019-09-25T01:25:02Z
"LOL XD They know they can't win the election so they're gonna throw everything they have at this impeachment. Which will fail, piss Dems off, and guarantee a Strong Trump Victory in 2020! Death to Globalism!",2019-09-25T01:20:33Z
"Nancy finally gave in to the calls by herr failing parties demand for a formal impeachment inquiry. Not because she wants to or thinks it will lead to impeachment but, rather she knows the Democratic party is totally ""dead"" as of the next election. Most will be gone (indicted) resigned or voted out of office.  She knows if she doesn't allow this inquiry she'll be driven out of office by her own party. A Captain going down with her doomed ship.",2019-09-25T01:11:57Z
What about the constitutional gun rights she wants to take away,2019-09-25T01:05:14Z
Nice to see taxpayer money pay for her Botox treatments.,2019-09-25T01:04:41Z
A drunken Charlie Sheen could a spoke better,2019-09-25T01:04:20Z
He promised to balance the budget for 2019 ... but didn't  - he never apologized and is not even concerned. He acts like nothing is wrong.,2019-09-25T00:58:07Z
"Well, we got him.",2019-09-25T00:55:12Z
"Shout out to all you Brandi Carlile fans. ""I have been to the movies and I've seen how it ends and the joke's on them"". Don't be discouraged.",2019-09-25T00:54:37Z
Anyone notice the crack jaw twitch at the end!lol,2019-09-25T00:53:21Z
Lmao still salty they lost the 2016 election... Thank you for gifting Trump the 2020 election! Much appreciated!,2019-09-25T00:52:45Z
She is a waste of time.Clearly she has lost  her mind.Steal excusing the President of crimes commented by the Left.,2019-09-25T00:50:43Z
She looks like a skeleton.  She is also dead inside.,2019-09-25T00:45:02Z
"Come-on DEMS - hang tough - see it through - throw it at the Pink Orangutan. DO NOT RELENT - LOUD, LONG AND STRONG.",2019-09-25T00:41:41Z
Impeach the best President ever???? NOT GONNA HAPPEN,2019-09-25T00:39:38Z
"Ah, when your life isn’t one endless, brutalizing, dehumanizing competition for survival, lose that job, there goes your healthcare, bang, everyone one small emergency away from the edge of ruin, then your life isn’t also one long feeling of dread, anxiety, and despair. Therefore you don’t have to medicate it away, the way people do in this capitalist empire, whether with painkillers, or with money, or with possessions. You are free to sit there and reflect, to feel deeply the sorrow and joy and pain and beauty of just being here. Just existing for a few breaths on this blue oasis hurtling through the endless darkness. Still wonder, if they will impeach or keep appeasing him.  he is an infantile narcissist. He is forever seeking total power, omnipotence, to prove to himself he is worthy, having been unloved by distant parents. He will fail because, in this life, no one can have absolute power. Already, he’s the world’s laughingstock. Never mind, he doubles down. He does more violence, calls more names. The world laughs some more. The vicious cycle continues. What else can an infantile narcissist do? He has no shame, just the desperate desire to be powerful, even if it means…turning the whole world to ashes, so long as he can stand atop it. So...We wait...Let Nero fall, for he is not worthy any longer....",2019-09-25T00:37:27Z
She sounds drunk,2019-09-25T00:30:39Z
"I'm sure the timing on this has nothing to do with the absolute clown show happening these days in the DNC primaries.  Pelosi has been visibly nervous about 2020 for months now, she knows that if she doesn't pull a next-level deflection ASAP the Democratic party is dead.  Make no mistake: This is the last act of a desperate old woman clinging to her last shreds of power.",2019-09-25T00:28:56Z
"Don't start celebrating, just yet, you Leftist morons. This will never get past the Senate. 🖕😜",2019-09-25T00:22:39Z
These fairys are a fkn joke hahaha watch how many people vote for trump you stupid rats...trump 2020. You guys just fkd yourselves  for eternity.,2019-09-25T00:19:19Z
"These democratic party members are traitors, this is our duely elected president. This is a treasonous act from traitors within our nation. Everyone that votes with this should be removed from office and tried for treason.  They are enemies to the constitution for which they took an oath to up hold. Thos should not be tolerated!",2019-09-25T00:09:33Z
Wow Democrats are so full of shit..I hope Trump lured The Dems and they fell for it stupid idiots...,2019-09-25T00:09:24Z
"THE Criminal DemocRats are gonna LOOSE and LOOSE huge! They are no longer a political party they are a CRIMINAL ORGANIZATION PART OF THE DEEP STATE SWAMP RATS, THEY ARE ALL TRAITORS AND THE DAY OF RECKONING IS EVENTUALLY UPON ALL OF THESE TREASONOUS SWAMP RATS WHO CONTINUE WITH THEIR HIT JOB ON OUR BELOVED PRESIDENT AND GREATEST COMMANDER IN CHIEF. HE IS A TRUE AMERICAN PATRIOT AND HE’S GONNA WIN THE 2020 PRESIDENTIAL ELECTION BY A LANDSLIDE VICTORY! President Trump restored the American economy back to greatness and made it the envy of the entire world 🌎 HE COMPLETELY OVERHAULED THE AMERICAN ARMED FORCES AND RETURNED IT BACK TO IT’S FORMER GLORY AS THE GREATEST ARMED FORCE IN THE ENTIRE WORLD. PRESIDENT TRUMP WILL BE FOREVER KNOWN AS THE GREATEST PRESIDENT IN THE HISTORY OF AMERICA🇺🇸
GOD BLESS OUR BELOVED PRESIDENT DONALD J TRUMP AND PROTECT HIM AND ALL OF HIS BEAUTIFUL FAMILY FROM THE EVIL SATANIC DEEP STATE PIGS, WHO WISH TO DESTROY HIM AND IN THE PROCESS DESTROY AMERICA AND IMPOVERISH THE AMERICAN PEOPLE, BY CRIPPLING THE AMERICAN ECONOMY THAT PRESIDENT TRUMP FOUGHT SO HARD TO MAKE GREAT AGAIN, WITHOUT ANY HELP from the wicked lowlife democRats I’ll add. DARK TO LIGHT KEEP GOING PRESIDENT TRUMP THE WHOLE COUNTRY IS BEHIND YOU AND WE HAVE YOUR BACK...",2019-09-25T00:07:59Z
"She is such a puppet, just give her a little Crack and she will say what ever you want her to.",2019-09-25T00:05:56Z
"Since when does the constitution matter? We have people locked up for legislative crimes that aren’t actual crimes. I mean the right to bear arms is a crime, The right to travel without a license is a crime, So I ask again since when does the constitution matter if congress and the whole dam White House has Violated it by pushing legislative laws which are De Facto!!!!!!!",2019-09-25T00:05:28Z
Yaaaa.. Baby ... Caught the Orange Rat bone spurs with the Russian's cheezzz...🇺🇸🏁,2019-09-24T23:56:38Z
"Now it matters ha, we'll see if anything changes",2019-09-24T23:55:26Z
Nancy is so old it’s almost like I’m watching a skeleton speak,2019-09-24T23:52:30Z
"She reminds me my son’s X .
She always made accusations without proof running around the courthouse to fire canon without bullet.",2019-09-24T23:49:26Z
Pelosi stop wasting tax payers money on your nonsense phantom ideas noone cares about.,2019-09-24T23:44:52Z
"Sorry to Americans, feeling for U in your heartbreak at this time. 
God Bless America🇺🇸",2019-09-24T23:40:49Z
Look at that walking dead heifer ugh!😝,2019-09-24T23:40:37Z
FINALLY,2019-09-24T23:39:11Z
This plus media programming = Brainwash for Election day I guess?,2019-09-24T23:38:34Z
"It has been proven it was not a ""whistleblower"".  The person was not even working at the White House, but heard a rumour outside of the Whitehouse that ""such and such"" had happened.  I will laugh when Trump releases the transcript.",2019-09-24T23:33:47Z
"She is so full of.....!!
The House can NOT ""Force"" the IG or Anyone Else to reveal to Them or the Public the Name or Total Testimony (which might reveal who they are) of a WHISTLEBLOWER!! 
These ppl are so Desperate to get rid of Trump that they are conducting a ""Coup""! How Dare They? Especially at the same time he's meeting with Foriegn Leaders? They are NUTS! I say Let's just get rid of THEM & then we can decide if any other Laws have been broken, bc THEY'VE been breaking the Constitutional Laws from the Get Go! DOWN WITH THE DEMS....""We The People"" Rule! NOT Them!! 
Enough Already!",2019-09-24T23:31:57Z
Proves they wire tapping trump phone. To know who he talked to.  Adding. Ukrainian  foreign minister denies trump pressure him on July call.  WE THE REPUBLICANS PARTY. DEMAND. TREASON CHARGES ON NANCY. AND ALL DEMOCRATS IN OFFICE. FOR WIRE TAPPING TRUMP OFFICE.  President talk to other presidents all over the world. AREST NANCY TODAY. BRING BACK PUBLIC HANGINGS NOW. .,2019-09-24T23:27:42Z
"WTH is going on with her eyes/eyebrows?
That aint normal people.
I watch waiting for her forehead to unzip and an alien climb out.",2019-09-24T23:26:17Z
Fake reality TV government for your entertainment.,2019-09-24T23:22:30Z
Lock him up!,2019-09-24T23:21:49Z
"They have known how corrupt Trump is, They haven't done anything, I don't expect them to do anything now.",2019-09-24T23:19:54Z
"Let see if republicans are durty enough to keep him in power ,even after transcripts shows he commited a crime??? A MESS !!!!",2019-09-24T23:19:30Z
What a Creep,2019-09-24T23:18:47Z
(*Slow claps and yawns) ...Yet annother doomed attempt to impeach the POTUS. Kewl. More votes for us MAGA's when this ends up making Trump look better... for the upteenth time... again...,2019-09-24T23:17:32Z
FINALLY!!!!!! took way too long to find the FULL speach  without any commentary or cuts.......... THANK you for this upload!,2019-09-24T23:15:48Z
Not gonna happen,2019-09-24T23:14:57Z
